Day,Class,Start Time,End Time,ID
1,Homeroom,8:15:00,8:30:00,1
1,English,8:30:00,9:30:00,2
1,French,9:30:00,10:30:00,3
1,Break,10:30:00,10:45:00,4
1,TOK,10:45:00,11:45:00,5
1,Psychology,11:45:00,12:45:00,6
1,Lunch,12:45:00,13:45:00,7
1,Math,13:45:00,15:05:00,8
1,Homeroom,15:05:00,15:10:00,9
2,Homeroom,8:15:00,8:30:00,10
2,French,8:30:00,9:30:00,11
2,Psychology,9:30:00,10:30:00,12
2,Break,10:30:00,10:45:00,13
2,Physics,10:45:00,11:45:00,14
2,Computer Science,11:45:00,12:45:00,15
2,Lunch,12:45:00,13:45:00,16
2,English,13:45:00,15:05:00,17
2,Homeroom,15:05:00,15:10:00,18
3,Homeroom,8:15:00,8:30:00,19
3,Math,8:30:00,9:30:00,20
3,English,9:30:00,10:30:00,21
3,Break,10:30:00,10:45:00,22
3,PE,10:45:00,12:15:00,23
3,Assembly,12:15:00,12:45:00,24
3,Cafeteria Duty,12:45:00,13:15:00,25
3,Lunch,13:15:00,13:45:00,26
3,Psychology,13:45:00,15:05:00,27
3,Homeroom,15:05:00,15:10:00,28
4,Homeroom,8:15:00,8:30:00,29
4,TOK,8:30:00,9:30:00,30
4,French,9:30:00,10:30:00,31
4,Break,10:30:00,10:45:00,32
4,Physics,10:45:00,11:45:00,33
4,Math,11:45:00,12:45:00,34
4,Lunch,12:45:00,13:45:00,35
4,Computer Science,13:45:00,15:05:00,36
4,Homeroom,15:05:00,15:10:00,37
5,Homeroom,8:15:00,8:30:00,38
5,Computer Science,8:30:00,9:30:00,39
5,Physics,9:30:00,10:30:00,40
5,Break,10:30:00,10:45:00,41
5,Math,10:45:00,11:45:00,42
5,TOK,11:45:00,12:45:00,43
5,Lunch,12:45:00,13:45:00,44
5,French,13:45:00,15:05:00,45
5,Homeroom,15:05:00,15:10:00,46
6,Homeroom,8:15:00,8:30:00,47
6,English,8:30:00,9:30:00,48
6,Math,9:30:00,10:30:00,49
6,Break,10:30:00,10:45:00,50
3,Psychology,10:45:00,11:45:00,51
6,Computer Science,11:45:00,12:45:00,52
6,Library Duty,12:45:00,13:15:00,53
6,Lunch,13:15:00,13:45:00,54
6,Physics,13:45:00,15:05:00,55
6,Homeroom,15:05:00,15:10:00,56
